mpid,Count,Mean_μs,Median_μs,Std_μs,P10_μs,P90_μs,P95_μs,P99_μs
WCHV,4145263,263238.29,16404.6,871791.82,2512.46,516025.42,1152025.48,4968836.59
WBPX,3543352,243088.24,15064.62,816565.85,2554.64,485812.43,1012562.27,4458045.25
JPMS,3166908,268251.52,14283.14,921051.02,2450.6,492269.62,1134946.11,5498580.91
IMCC,397111,4404786.24,4174433.29,3006962.62,462489.26,8764366.05,9368318.85,9869636.7
ETMM,115230,4648790.33,4539362.49,2974765.37,631909.16,8875458.99,9451534.25,9892020.05
GSCO,88314,4640264.06,4477490.53,2993693.49,633797.85,8921948.76,9470652.22,9910819.74
FLTU,48437,4276691.06,3939118.28,3034849.06,367793.36,8725183.32,9395169.65,9867152.38
UBSS,46628,3069919.38,1906537.51,3021428.37,90596.92,8025180.09,8965968.31,9774834.67
SGAS,42581,4017511.38,3663637.42,3105263.99,118320.02,8684187.17,9308162.24,9845129.1
CDRG,29486,3998896.31,3564089.47,3151914.48,122626.96,8634047.89,9275706.55,9833619.43
XGWD,19385,4535439.69,4138236.19,2861988.64,890131.11,8817439.88,9341653.02,9832271.45
LEHM,16214,3034387.61,2405902.61,2326101.88,725940.45,6780207.23,8609492.38,9768920.72
VIRT,12079,4587068.08,4412689.51,3034658.37,500564.89,8864870.12,9329523.09,9905363.14
MLCO,10392,4274948.87,3846205.55,3012317.02,516473.35,8920432.49,9474456.97,9841586.51
WABR,10238,4319691.47,3978637.96,3021278.46,521740.43,8849104.19,9412991.81,9818795.41
MAXM,9822,4223184.28,3932448.49,2979846.7,502480.69,8801996.49,9382759.93,9859702.21
INTL,9770,4241119.43,3776341.0,3022542.25,495830.28,8857285.61,9393633.97,9901787.31
WBLR,9741,4252637.49,3794176.72,3005595.64,530056.31,8856689.09,9383785.01,9870007.55
ADAM,9714,4218027.74,3769017.24,3014268.36,491466.02,8830704.34,9384333.79,9900919.04
CANT,9657,4174601.91,3664046.6,3009809.1,513526.73,8806218.84,9365471.68,9875174.07
BARD,9646,4164723.42,3561850.43,3011091.65,499348.99,8850027.54,9375142.27,9866655.74
RBCM,9639,4175818.37,3736301.62,3044767.27,452153.55,8834247.89,9398047.81,9888994.94
COWN,9630,4312702.33,3942411.4,3071047.04,491874.62,8942819.91,9463996.83,9926313.5
CSTI,9604,4284756.56,3807744.6,3059926.87,491966.26,8954182.07,9479481.92,9923660.73
KEYB,9472,4252155.59,3868856.04,3035882.79,491547.55,8887258.74,9379957.55,9830296.96
RHCO,8399,4547799.36,4376170.18,2909054.02,737544.14,8884804.99,9423164.14,9831556.37
JSSF,7600,4240908.87,3733507.63,2922516.95,595891.12,8690275.08,9242033.53,9802117.73
STFL,7551,4598632.63,4375977.01,2958620.7,829503.93,8949595.1,9401623.1,9890763.72
RAJA,7497,4790782.76,4553543.14,2934268.28,843658.66,9068264.33,9477688.84,9901333.69
CLST,3573,4577947.83,4189711.89,3078420.96,505912.19,9008636.22,9580207.06,9927510.91
GTSM,2892,4914716.91,4979321.06,3119712.34,773306.13,9101472.75,9416254.56,9955332.47
NEED,2821,4988574.78,5114854.89,3047866.96,1078402.12,9106860.67,9732650.59,9961956.33
RILY,2814,4613499.16,4072393.3,2933845.59,996453.75,9118021.64,9673351.57,9951936.45
SOHO,2763,5422464.4,6400601.45,2640263.28,1528987.15,8437035.79,9252603.28,9927074.49
MSCO,2628,4975904.55,4958992.46,2920961.04,813780.95,9055158.64,9323711.47,9728774.95
LEER,2624,4038051.52,3441681.15,2602019.42,568698.25,8288280.36,9203530.86,9870323.29
VERT,2609,4797255.09,4492515.08,2685839.12,341015.5,8770484.32,9417209.87,9886142.47
WBSI,2423,4991479.57,4279182.99,2928689.62,1445927.67,9127252.75,9654421.74,9956495.74
STXG,2366,4676080.16,4420394.05,2361728.65,1422019.71,7717530.69,7850020.56,9581639.56
DADA,2365,3996898.45,3521003.12,3134118.32,248899.08,8757068.84,9375856.29,9884111.18
BKCM,2187,2948315.04,1798075.56,2924623.07,166951.48,7667424.77,9089308.44,9788214.89
KBWI,1954,4294747.04,3966001.88,2833837.35,787400.62,8451774.23,9163022.3,9879794.7
TSSM,1586,5150783.6,5107477.82,2778509.65,1027023.62,8926652.65,9537330.08,9936699.03
SPHN,1290,5044987.06,4810553.64,2462507.08,2150259.15,8777960.06,9323344.21,9838049.86
SSUS,1204,4973778.59,5204285.79,2804511.33,1091132.43,8496112.92,9530847.32,9930631.3
SUFI,1026,5194257.22,5723607.87,2639793.33,1137173.79,8716211.27,9180019.1,9938249.51
CHLM,739,4514914.38,3960369.46,3037674.8,652475.68,9089768.17,9263077.05,9591659.91
HRTF,706,4807509.8,4605714.85,2961048.2,692217.7,8819062.73,9287378.13,9857431.26
SEBR,567,4383675.77,5095257.15,2627958.59,482537.65,7738828.37,8752480.88,9513976.64
BTBS,426,5310476.03,5467423.35,2809703.39,1434692.11,8805902.58,8868924.38,9512531.08
KING,105,3306175.4,3004681.32,2362673.86,39833.39,5748189.56,6026862.3,8770746.0
